VideoName,E_Y,h,L_Y,L_U,E_U,L_V,E_V,targetBitrate,timeLimitEnc,timeLimitDec,resolution,qp
122,9.370833333,6.211270997,135.1166667,123.6375,91.97916667,22.44583333,19.15,145,9999.0,9999.0,540,44
124,12.125,18.9919278,131.2416667,125.6416667,129.4583333,9.6625,10.19166667,145,9999.0,9999.0,720,50
130,25.07916667,36.60876674,70.75416667,123.3666667,130.7333333,22.77083333,33.08333333,145,9999.0,9999.0,360,44
131,14.925,22.73509042,58.99583333,124.6583333,132.2833333,4.141666667,8.341666667,145,9999.0,9999.0,720,49
134,30.3,51.54076485,76.525,121.5625,132.8791667,13.825,9.525,145,9999.0,9999.0,360,45
137,9.9375,3.342979828,93.3,126.8625,126.0875,1.845833333,2.35,145,9999.0,9999.0,360,37
148,24.60416667,40.32382869,61.00416667,129.1833333,127.5583333,13.53333333,8.6,145,9999.0,9999.0,540,48
149,16.1875,2.451921117,100.8083333,125.9791667,134.525,5.8125,10.07916667,145,9999.0,9999.0,360,42
150,29.07083333,13.43259201,96.36666667,130.4125,124.2791667,6.045833333,6.0,145,9999.0,9999.0,540,45
153,50.83333333,9.802931172,93.54583333,131.0,125.0,20.3375,10.3125,145,9999.0,9999.0,540,43
153,50.83333333,9.802931172,93.54583333,131.0,125.0,20.3375,10.3125,300,9999.0,9999.0,1080,46
154,10.10833333,25.49525565,62.58333333,130.0666667,126.3458333,9.670833333,20.11666667,145,9999.0,9999.0,720,47
158,47.2625,8.522363586,87.02083333,121.875,126.175,17.76666667,12.14583333,145,9999.0,9999.0,540,44
158,47.2625,8.522363586,87.02083333,121.875,126.175,17.76666667,12.14583333,300,9999.0,9999.0,720,44
159,16.72916667,15.43329536,89.55833333,131.6458333,121.9875,6.095833333,9.7875,145,9999.0,9999.0,540,46
165,15.88333333,8.41897364,109.3458333,138.4125,124.0791667,5.2875,12.9375,145,9999.0,9999.0,540,44
166,13.1625,16.23254126,65.0625,126.3208333,131.5041667,6.666666667,15.42916667,145,9999.0,9999.0,720,50
168,38.575,13.31427029,70.1125,121.9958333,130.7125,11.34583333,5.308333333,145,9999.0,9999.0,360,41
168,38.575,13.31427029,70.1125,121.9958333,130.7125,11.34583333,5.308333333,300,9999.0,9999.0,720,43
169,10.25,11.17943231,85.05,134.4625,123.1416667,3.191666667,3.295833333,145,9999.0,9999.0,360,40
170,36.62916667,6.629691925,88.05833333,127.0,130.0,6.475,3.975,145,9999.0,9999.0,360,40
170,36.62916667,6.629691925,88.05833333,127.0,130.0,6.475,3.975,300,9999.0,9999.0,720,40
170,36.62916667,6.629691925,88.05833333,127.0,130.0,6.475,3.975,600,9999.0,9999.0,1080,40
171,24.45833333,24.32126611,116.2041667,131.8958333,111.6958333,7.6,18.4875,145,9999.0,9999.0,540,46
179,26.99166667,12.69193025,68.90833333,124.0125,134.3458333,7.175,7.766666667,145,9999.0,9999.0,540,47
188,11.17083333,15.19601544,81.54166667,130.1333333,125.4666667,3.170833333,5.033333333,145,9999.0,9999.0,360,40
190,26.80833333,13.44563925,62.625,124.8833333,130.7083333,9.566666667,8.1375,145,9999.0,9999.0,540,48
197,13.95,9.345114809,91.79166667,130.9416667,107.4958333,9.275,16.29166667,145,9999.0,9999.0,1080,50
201,12.24166667,4.484049079,96.37083333,117.6041667,124.9791667,10.28333333,8.216666667,145,9999.0,9999.0,540,43
204,8.591666667,6.24609501,120.7166667,92.34583333,148.275,11.37083333,10.51666667,145,9999.0,9999.0,1080,50
211,26.19583333,8.005361841,108.3583333,133.875,136.4291667,10.32083333,22.8125,145,9999.0,9999.0,540,47
